fullname,permanentNumber,code,Constructors,points,wins
Pierre Gasly,10,GAS,Red Bull,77,0
Carlos Sainz,55,SAI,McLaren,76,0
Alexander Albon,23,ALB,Toro Rosso,74,0
Sergio Pérez,11,PER,Racing Point,43,0
Daniel Ricciardo,3,RIC,Renault,38,0
Nico Hülkenberg,27,HUL,Renault,35,0
Lando Norris,4,NOR,McLaren,35,0
Daniil Kvyat,26,KVY,Toro Rosso,34,0
Kimi Räikkönen,7,RAI,Alfa Romeo,31,0
Lance Stroll,18,STR,Racing Point,21,0
Kevin Magnussen,20,MAG,Haas F1 Team,20,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,381,10
Valtteri Bottas,77,BOT,Mercedes,314,4
Charles Leclerc,16,LEC,Ferrari,249,2
Max Verstappen,33,VER,Red Bull,235,2
Sebastian Vettel,5,VET,Ferrari,230,1
Alexander Albon,23,ALB,Toro Rosso,84,0
Carlos Sainz,55,SAI,McLaren,80,0
Pierre Gasly,10,GAS,Red Bull,77,0
Daniel Ricciardo,3,RIC,Renault,46,0
Sergio Pérez,11,PER,Racing Point,44,0
Lando Norris,4,NOR,McLaren,41,0
Nico Hülkenberg,27,HUL,Renault,37,0
Daniil Kvyat,26,KVY,Toro Rosso,34,0
Kimi Räikkönen,7,RAI,Alfa Romeo,31,0
Lance Stroll,18,STR,Racing Point,21,0
Kevin Magnussen,20,MAG,Haas F1 Team,20,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,387,10
Valtteri Bottas,77,BOT,Mercedes,314,4
Max Verstappen,33,VER,Red Bull,260,3
Charles Leclerc,16,LEC,Ferrari,249,2
Sebastian Vettel,5,VET,Ferrari,230,1
Pierre Gasly,10,GAS,Red Bull,95,0
Carlos Sainz,55,SAI,McLaren,95,0
Alexander Albon,23,ALB,Toro Rosso,84,0
Daniel Ricciardo,3,RIC,Renault,54,0
Sergio Pérez,11,PER,Racing Point,46,0
Lando Norris,4,NOR,McLaren,45,0
Kimi Räikkönen,7,RAI,Alfa Romeo,43,0
Nico Hülkenberg,27,HUL,Renault,37,0
Daniil Kvyat,26,KVY,Toro Rosso,35,0
Lance Stroll,18,STR,Racing Point,21,0
Kevin Magnussen,20,MAG,Haas F1 Team,20,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,14,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,413,11
Valtteri Bottas,77,BOT,Mercedes,326,4
Max Verstappen,33,VER,Red Bull,278,3
Charles Leclerc,16,LEC,Ferrari,264,2
Sebastian Vettel,5,VET,Ferrari,240,1
Carlos Sainz,55,SAI,McLaren,96,0
Pierre Gasly,10,GAS,Red Bull,95,0
Alexander Albon,23,ALB,Toro Rosso,92,0
Daniel Ricciardo,3,RIC,Renault,54,0
Sergio Pérez,11,PER,Racing Point,52,0
Lando Norris,4,NOR,McLaren,49,0
Kimi Räikkönen,7,RAI,Alfa Romeo,43,0
Daniil Kvyat,26,KVY,Toro Rosso,37,0
Nico Hülkenberg,27,HUL,Renault,37,0
Lance Stroll,18,STR,Racing Point,21,0
Kevin Magnussen,20,MAG,Haas F1 Team,20,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,14,0
Romain Grosjean,8,GRO,Haas F1 Team,8,0
Robert Kubica,88,KUB,Williams,1,0
George Russell,63,RUS,Williams,0,0
Valtteri Bottas,77,BOT,Mercedes,25,1
Charles Leclerc,16,LEC,Ferrari,18,0
Lando Norris,4,NOR,McLaren,16,0
Lewis Hamilton,44,HAM,Mercedes,12,0
Carlos Sainz,55,SAI,McLaren,10,0
Sergio Pérez,11,PER,Racing Point,8,0
Pierre Gasly,10,GAS,AlphaTauri,6,0
Esteban Ocon,31,OCO,Renault,4,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Sebastian Vettel,5,VET,Ferrari,1,0
Nicholas Latifi,6,LAT,Williams,0,0
Daniil Kvyat,26,KVY,AlphaTauri,0,0
Alexander Albon,23,ALB,Red Bull,0,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Kevin Magnussen,20,MAG,Haas F1 Team,0,0
Lance Stroll,18,STR,Racing Point,0,0
Daniel Ricciardo,3,RIC,Renault,0,0
Max Verstappen,33,VER,Red Bull,0,0
Valtteri Bottas,77,BOT,Mercedes,43,1
Lewis Hamilton,44,HAM,Mercedes,37,1
Lando Norris,4,NOR,McLaren,26,0
Charles Leclerc,16,LEC,Ferrari,18,0
Sergio Pérez,11,PER,Racing Point,16,0
Max Verstappen,33,VER,Red Bull,15,0
Carlos Sainz,55,SAI,McLaren,13,0
Alexander Albon,23,ALB,Red Bull,12,0
Pierre Gasly,10,GAS,AlphaTauri,6,0
Lance Stroll,18,STR,Racing Point,6,0
Esteban Ocon,31,OCO,Renault,4,0
Daniel Ricciardo,3,RIC,Renault,4,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Daniil Kvyat,26,KVY,AlphaTauri,1,0
Sebastian Vettel,5,VET,Ferrari,1,0
Nicholas Latifi,6,LAT,Williams,0,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Kevin Magnussen,20,MAG,Haas F1 Team,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,63,2
Valtteri Bottas,77,BOT,Mercedes,58,1
Max Verstappen,33,VER,Red Bull,33,0
Lando Norris,4,NOR,McLaren,26,0
Alexander Albon,23,ALB,Red Bull,22,0
Sergio Pérez,11,PER,Racing Point,22,0
Charles Leclerc,16,LEC,Ferrari,18,0
Lance Stroll,18,STR,Racing Point,18,0
Carlos Sainz,55,SAI,McLaren,15,0
Sebastian Vettel,5,VET,Ferrari,9,0
Daniel Ricciardo,3,RIC,Renault,8,0
Pierre Gasly,10,GAS,AlphaTauri,6,0
Esteban Ocon,31,OCO,Renault,4,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Daniil Kvyat,26,KVY,AlphaTauri,1,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,88,3
Valtteri Bottas,77,BOT,Mercedes,58,1
Max Verstappen,33,VER,Red Bull,52,0
Lando Norris,4,NOR,McLaren,36,0
Charles Leclerc,16,LEC,Ferrari,33,0
Alexander Albon,23,ALB,Red Bull,26,0
Sergio Pérez,11,PER,Racing Point,22,0
Lance Stroll,18,STR,Racing Point,20,0
Daniel Ricciardo,3,RIC,Renault,20,0
Carlos Sainz,55,SAI,McLaren,15,0
Esteban Ocon,31,OCO,Renault,12,0
Pierre Gasly,10,GAS,AlphaTauri,12,0
Sebastian Vettel,5,VET,Ferrari,10,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Daniil Kvyat,26,KVY,AlphaTauri,1,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Nico Hülkenberg,27,HUL,Racing Point,0,0
Lewis Hamilton,44,HAM,Mercedes,107,3
Max Verstappen,33,VER,Red Bull,77,1
Valtteri Bottas,77,BOT,Mercedes,73,1
Charles Leclerc,16,LEC,Ferrari,45,0
Lando Norris,4,NOR,McLaren,38,0
Alexander Albon,23,ALB,Red Bull,36,0
Lance Stroll,18,STR,Racing Point,28,0
Sergio Pérez,11,PER,Racing Point,22,0
Daniel Ricciardo,3,RIC,Renault,20,0
Esteban Ocon,31,OCO,Renault,16,0
Carlos Sainz,55,SAI,McLaren,15,0
Pierre Gasly,10,GAS,AlphaTauri,12,0
Sebastian Vettel,5,VET,Ferrari,10,0
Nico Hülkenberg,27,HUL,Racing Point,6,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Daniil Kvyat,26,KVY,AlphaTauri,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,132,4
Max Verstappen,33,VER,Red Bull,95,1
Valtteri Bottas,77,BOT,Mercedes,89,1
Charles Leclerc,16,LEC,Ferrari,45,0
Lance Stroll,18,STR,Racing Point,40,0
Alexander Albon,23,ALB,Red Bull,40,0
Lando Norris,4,NOR,McLaren,39,0
Sergio Pérez,11,PER,Racing Point,32,0
Carlos Sainz,55,SAI,McLaren,23,0
Daniel Ricciardo,3,RIC,Renault,20,0
Sebastian Vettel,5,VET,Ferrari,16,0
Esteban Ocon,31,OCO,Renault,16,0
Pierre Gasly,10,GAS,AlphaTauri,14,0
Nico Hülkenberg,27,HUL,Racing Point,6,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Daniil Kvyat,26,KVY,AlphaTauri,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,157,5
Max Verstappen,33,VER,Red Bull,110,1
Valtteri Bottas,77,BOT,Mercedes,107,1
Alexander Albon,23,ALB,Red Bull,48,0
Charles Leclerc,16,LEC,Ferrari,45,0
Lando Norris,4,NOR,McLaren,45,0
Lance Stroll,18,STR,Racing Point,42,0
Daniel Ricciardo,3,RIC,Renault,33,0
Sergio Pérez,11,PER,Racing Point,33,0
Esteban Ocon,31,OCO,Renault,26,0
Carlos Sainz,55,SAI,McLaren,23,0
Pierre Gasly,10,GAS,AlphaTauri,18,0
Sebastian Vettel,5,VET,Ferrari,16,0
Nico Hülkenberg,27,HUL,Racing Point,6,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Daniil Kvyat,26,KVY,AlphaTauri,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,164,5
Valtteri Bottas,77,BOT,Mercedes,117,1
Max Verstappen,33,VER,Red Bull,110,1
Lance Stroll,18,STR,Racing Point,57,0
Lando Norris,4,NOR,McLaren,57,0
Alexander Albon,23,ALB,Red Bull,48,0
Charles Leclerc,16,LEC,Ferrari,45,0
Pierre Gasly,10,GAS,AlphaTauri,43,1
Carlos Sainz,55,SAI,McLaren,41,0
Daniel Ricciardo,3,RIC,Renault,41,0
Sergio Pérez,11,PER,Racing Point,34,0
Esteban Ocon,31,OCO,Renault,30,0
Sebastian Vettel,5,VET,Ferrari,16,0
Nico Hülkenberg,27,HUL,Racing Point,6,0
Daniil Kvyat,26,KVY,AlphaTauri,4,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,190,6
Valtteri Bottas,77,BOT,Mercedes,135,1
Max Verstappen,33,VER,Red Bull,110,1
Lando Norris,4,NOR,McLaren,65,0
Alexander Albon,23,ALB,Red Bull,63,0
Lance Stroll,18,STR,Racing Point,57,0
Daniel Ricciardo,3,RIC,Renault,53,0
Charles Leclerc,16,LEC,Ferrari,49,0
Sergio Pérez,11,PER,Racing Point,44,0
Pierre Gasly,10,GAS,AlphaTauri,43,1
Carlos Sainz,55,SAI,McLaren,41,0
Esteban Ocon,31,OCO,Renault,30,0
Sebastian Vettel,5,VET,Ferrari,17,0
Daniil Kvyat,26,KVY,AlphaTauri,10,0
Nico Hülkenberg,27,HUL,Racing Point,6,0
Kimi Räikkönen,7,RAI,Alfa Romeo,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,205,6
Valtteri Bottas,77,BOT,Mercedes,161,2
Max Verstappen,33,VER,Red Bull,128,1
Lando Norris,4,NOR,McLaren,65,0
Alexander Albon,23,ALB,Red Bull,64,0
Daniel Ricciardo,3,RIC,Renault,63,0
Charles Leclerc,16,LEC,Ferrari,57,0
Lance Stroll,18,STR,Racing Point,57,0
Sergio Pérez,11,PER,Racing Point,56,0
Pierre Gasly,10,GAS,AlphaTauri,45,1
Carlos Sainz,55,SAI,McLaren,41,0
Esteban Ocon,31,OCO,Renault,36,0
Sebastian Vettel,5,VET,Ferrari,17,0
Daniil Kvyat,26,KVY,AlphaTauri,14,0
Nico Hülkenberg,27,HUL,Racing Point,6,0
Kimi Räikkönen,7,RAI,Alfa Romeo,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,230,7
Valtteri Bottas,77,BOT,Mercedes,161,2
Max Verstappen,33,VER,Red Bull,147,1
Daniel Ricciardo,3,RIC,Renault,78,0
Sergio Pérez,11,PER,Racing Point,68,0
Lando Norris,4,NOR,McLaren,65,0
Alexander Albon,23,ALB,Red Bull,64,0
Charles Leclerc,16,LEC,Ferrari,63,0
Lance Stroll,18,STR,Racing Point,57,0
Pierre Gasly,10,GAS,AlphaTauri,53,1
Carlos Sainz,55,SAI,McLaren,51,0
Esteban Ocon,31,OCO,Renault,36,0
Sebastian Vettel,5,VET,Ferrari,17,0
Daniil Kvyat,26,KVY,AlphaTauri,14,0
Nico Hülkenberg,27,HUL,Racing Point,10,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,3,0
Kimi Räikkönen,7,RAI,Alfa Romeo,2,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,256,8
Valtteri Bottas,77,BOT,Mercedes,179,2
Max Verstappen,33,VER,Red Bull,162,1
Daniel Ricciardo,3,RIC,Renault,80,0
Charles Leclerc,16,LEC,Ferrari,75,0
Sergio Pérez,11,PER,Racing Point,74,0
Lando Norris,4,NOR,McLaren,65,0
Alexander Albon,23,ALB,Red Bull,64,0
Pierre Gasly,10,GAS,AlphaTauri,63,1
Carlos Sainz,55,SAI,McLaren,59,0
Lance Stroll,18,STR,Racing Point,57,0
Esteban Ocon,31,OCO,Renault,40,0
Sebastian Vettel,5,VET,Ferrari,18,0
Daniil Kvyat,26,KVY,AlphaTauri,14,0
Nico Hülkenberg,27,HUL,Racing Point,10,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,3,0
Kimi Räikkönen,7,RAI,Alfa Romeo,2,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,282,9
Valtteri Bottas,77,BOT,Mercedes,197,2
Max Verstappen,33,VER,Red Bull,162,1
Daniel Ricciardo,3,RIC,Renault,95,0
Charles Leclerc,16,LEC,Ferrari,85,0
Sergio Pérez,11,PER,Racing Point,82,0
Lando Norris,4,NOR,McLaren,69,0
Carlos Sainz,55,SAI,McLaren,65,0
Alexander Albon,23,ALB,Red Bull,64,0
Pierre Gasly,10,GAS,AlphaTauri,63,1
Lance Stroll,18,STR,Racing Point,57,0
Esteban Ocon,31,OCO,Renault,40,0
Daniil Kvyat,26,KVY,AlphaTauri,26,0
Sebastian Vettel,5,VET,Ferrari,18,0
Nico Hülkenberg,27,HUL,Racing Point,10,0
Kimi Räikkönen,7,RAI,Alfa Romeo,4,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,307,10
Valtteri Bottas,77,BOT,Mercedes,197,2
Max Verstappen,33,VER,Red Bull,170,1
Sergio Pérez,11,PER,Racing Point,100,0
Charles Leclerc,16,LEC,Ferrari,97,0
Daniel Ricciardo,3,RIC,Renault,96,0
Carlos Sainz,55,SAI,McLaren,75,0
Lando Norris,4,NOR,McLaren,74,0
Alexander Albon,23,ALB,Red Bull,70,0
Pierre Gasly,10,GAS,AlphaTauri,63,1
Lance Stroll,18,STR,Racing Point,59,0
Esteban Ocon,31,OCO,Renault,40,0
Sebastian Vettel,5,VET,Ferrari,33,0
Daniil Kvyat,26,KVY,AlphaTauri,26,0
Nico Hülkenberg,27,HUL,Racing Point,10,0
Kimi Räikkönen,7,RAI,Alfa Romeo,4,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,332,11
Valtteri Bottas,77,BOT,Mercedes,201,2
Max Verstappen,33,VER,Red Bull,189,1
Daniel Ricciardo,3,RIC,Renault,102,0
Sergio Pérez,11,PER,Racing Point,100,0
Charles Leclerc,16,LEC,Ferrari,98,0
Lando Norris,4,NOR,McLaren,86,0
Carlos Sainz,55,SAI,McLaren,85,0
Alexander Albon,23,ALB,Red Bull,85,0
Pierre Gasly,10,GAS,AlphaTauri,71,1
Lance Stroll,18,STR,Racing Point,59,0
Esteban Ocon,31,OCO,Renault,42,0
Sebastian Vettel,5,VET,Ferrari,33,0
Daniil Kvyat,26,KVY,AlphaTauri,26,0
Nico Hülkenberg,27,HUL,Racing Point,10,0
Kimi Räikkönen,7,RAI,Alfa Romeo,4,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
George Russell,63,RUS,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,332,11
Valtteri Bottas,77,BOT,Mercedes,205,2
Max Verstappen,33,VER,Red Bull,189,1
Sergio Pérez,11,PER,Racing Point,125,1
Daniel Ricciardo,3,RIC,Renault,112,0
Charles Leclerc,16,LEC,Ferrari,98,0
Carlos Sainz,55,SAI,McLaren,97,0
Alexander Albon,23,ALB,Red Bull,93,0
Lando Norris,4,NOR,McLaren,87,0
Lance Stroll,18,STR,Racing Point,74,0
Pierre Gasly,10,GAS,AlphaTauri,71,1
Esteban Ocon,31,OCO,Renault,60,0
Sebastian Vettel,5,VET,Ferrari,33,0
Daniil Kvyat,26,KVY,AlphaTauri,32,0
Nico Hülkenberg,27,HUL,Racing Point,10,0
Kimi Räikkönen,7,RAI,Alfa Romeo,4,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
George Russell,63,RUS,Williams,3,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
Jack Aitken,89,AIT,Williams,0,0
Pietro Fittipaldi,51,FIT,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,347,11
Valtteri Bottas,77,BOT,Mercedes,223,2
Max Verstappen,33,VER,Red Bull,214,2
Sergio Pérez,11,PER,Racing Point,125,1
Daniel Ricciardo,3,RIC,Renault,119,0
Carlos Sainz,55,SAI,McLaren,105,0
Alexander Albon,23,ALB,Red Bull,105,0
Charles Leclerc,16,LEC,Ferrari,98,0
Lando Norris,4,NOR,McLaren,97,0
Pierre Gasly,10,GAS,AlphaTauri,75,1
Lance Stroll,18,STR,Racing Point,75,0
Esteban Ocon,31,OCO,Renault,62,0
Sebastian Vettel,5,VET,Ferrari,33,0
Daniil Kvyat,26,KVY,AlphaTauri,32,0
Nico Hülkenberg,27,HUL,Racing Point,10,0
Kimi Räikkönen,7,RAI,Alfa Romeo,4,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,4,0
George Russell,63,RUS,Williams,3,0
Romain Grosjean,8,GRO,Haas F1 Team,2,0
Kevin Magnussen,20,MAG,Haas F1 Team,1,0
Nicholas Latifi,6,LAT,Williams,0,0
Jack Aitken,89,AIT,Williams,0,0
Pietro Fittipaldi,51,FIT,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,25,1
Max Verstappen,33,VER,Red Bull,18,0
Valtteri Bottas,77,BOT,Mercedes,16,0
Lando Norris,4,NOR,McLaren,12,0
Sergio Pérez,11,PER,Red Bull,10,0
Charles Leclerc,16,LEC,Ferrari,8,0
Daniel Ricciardo,3,RIC,McLaren,6,0
Carlos Sainz,55,SAI,Ferrari,4,0
Yuki Tsunoda,22,TSU,AlphaTauri,2,0
Lance Stroll,18,STR,Aston Martin,1,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
Esteban Ocon,31,OCO,Alpine F1 Team,0,0
George Russell,63,RUS,Williams,0,0
Sebastian Vettel,5,VET,Aston Martin,0,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Pierre Gasly,10,GAS,AlphaTauri,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Fernando Alonso,14,ALO,Alpine F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,44,1
Max Verstappen,33,VER,Red Bull,43,1
Lando Norris,4,NOR,McLaren,27,0
Charles Leclerc,16,LEC,Ferrari,20,0
Valtteri Bottas,77,BOT,Mercedes,16,0
Carlos Sainz,55,SAI,Ferrari,14,0
Daniel Ricciardo,3,RIC,McLaren,14,0
Sergio Pérez,11,PER,Red Bull,10,0
Pierre Gasly,10,GAS,AlphaTauri,6,0
Lance Stroll,18,STR,Aston Martin,5,0
Yuki Tsunoda,22,TSU,AlphaTauri,2,0
Esteban Ocon,31,OCO,Alpine F1 Team,2,0
Fernando Alonso,14,ALO,Alpine F1 Team,1,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Sebastian Vettel,5,VET,Aston Martin,0,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,69,2
Max Verstappen,33,VER,Red Bull,61,1
Lando Norris,4,NOR,McLaren,37,0
Valtteri Bottas,77,BOT,Mercedes,32,0
Charles Leclerc,16,LEC,Ferrari,28,0
Sergio Pérez,11,PER,Red Bull,22,0
Daniel Ricciardo,3,RIC,McLaren,16,0
Carlos Sainz,55,SAI,Ferrari,14,0
Esteban Ocon,31,OCO,Alpine F1 Team,8,0
Pierre Gasly,10,GAS,AlphaTauri,7,0
Lance Stroll,18,STR,Aston Martin,5,0
Fernando Alonso,14,ALO,Alpine F1 Team,5,0
Yuki Tsunoda,22,TSU,AlphaTauri,2,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
Sebastian Vettel,5,VET,Aston Martin,0,0
George Russell,63,RUS,Williams,0,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Lewis Hamilton,44,HAM,Mercedes,94,3
Max Verstappen,33,VER,Red Bull,80,1
Valtteri Bottas,77,BOT,Mercedes,47,0
Lando Norris,4,NOR,McLaren,41,0
Charles Leclerc,16,LEC,Ferrari,40,0
Sergio Pérez,11,PER,Red Bull,32,0
Daniel Ricciardo,3,RIC,McLaren,24,0
Carlos Sainz,55,SAI,Ferrari,20,0
Esteban Ocon,31,OCO,Alpine F1 Team,10,0
Pierre Gasly,10,GAS,AlphaTauri,8,0
Lance Stroll,18,STR,Aston Martin,5,0
Fernando Alonso,14,ALO,Alpine F1 Team,5,0
Yuki Tsunoda,22,TSU,AlphaTauri,2,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,0,0
Sebastian Vettel,5,VET,Aston Martin,0,0
George Russell,63,RUS,Williams,0,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,105,2
Lewis Hamilton,44,HAM,Mercedes,101,3
Lando Norris,4,NOR,McLaren,56,0
Valtteri Bottas,77,BOT,Mercedes,47,0
Sergio Pérez,11,PER,Red Bull,44,0
Charles Leclerc,16,LEC,Ferrari,40,0
Carlos Sainz,55,SAI,Ferrari,38,0
Daniel Ricciardo,3,RIC,McLaren,24,0
Pierre Gasly,10,GAS,AlphaTauri,16,0
Esteban Ocon,31,OCO,Alpine F1 Team,12,0
Sebastian Vettel,5,VET,Aston Martin,10,0
Lance Stroll,18,STR,Aston Martin,9,0
Fernando Alonso,14,ALO,Alpine F1 Team,5,0
Yuki Tsunoda,22,TSU,AlphaTauri,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Kimi Räikkönen,7,RAI,Alfa Romeo,0,0
George Russell,63,RUS,Williams,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,105,2
Lewis Hamilton,44,HAM,Mercedes,101,3
Sergio Pérez,11,PER,Red Bull,69,1
Lando Norris,4,NOR,McLaren,66,0
Charles Leclerc,16,LEC,Ferrari,52,0
Valtteri Bottas,77,BOT,Mercedes,47,0
Carlos Sainz,55,SAI,Ferrari,42,0
Pierre Gasly,10,GAS,AlphaTauri,31,0
Sebastian Vettel,5,VET,Aston Martin,28,0
Daniel Ricciardo,3,RIC,McLaren,26,0
Fernando Alonso,14,ALO,Alpine F1 Team,13,0
Esteban Ocon,31,OCO,Alpine F1 Team,12,0
Lance Stroll,18,STR,Aston Martin,9,0
Yuki Tsunoda,22,TSU,AlphaTauri,8,0
